time (s)	det(V)
6036.477527	0.033085	
6036.479526	0.035894	
6036.481525	0.033576	
6036.483525	0.041013	
6036.485525	0.036684	
6036.487524	0.041436	
6036.491524	0.046039	
6036.495524	0.037521	
6036.497525	0.035674	
6036.499525	0.044852	
6036.501525	0.044301	
6036.503524	0.043616	
6036.505525	0.050476	
6036.509524	0.050535	
6036.511525	0.042817	
6036.513524	0.035710	
6036.515524	0.040918	
6036.517528	0.047882	
6036.519525	0.048069	
6036.521525	0.056465	
6036.523525	0.052812	
6036.525525	0.052227	
6036.529524	0.055528	
6036.531525	0.044275	
6036.533525	0.045098	
6036.535524	0.047450	
6036.537525	0.054059	
6036.539525	0.063457	
6036.541525	0.059055	
6036.543525	0.056731	
6036.545525	0.057536	
6036.547525	0.050476	
6036.551525	0.050398	
6036.555525	0.048989	
6036.557525	0.061766	
6036.559525	0.060891	
6036.561525	0.060067	
6036.563525	0.052435	
6036.567524	0.057920	
6036.569525	0.047608	
6036.571525	0.054382	
6036.573525	0.054225	
6036.575526	0.057644	
6036.577525	0.059394	
6036.579524	0.054512	
6036.581524	0.049302	
6036.583525	0.052022	
6036.587523	0.050782	
6036.591523	0.047932	
6036.593525	0.046394	
6036.595525	0.042692	
6036.597525	0.035647	
6036.599524	0.037373	
6036.601525	0.034604	
6036.603523	0.031030	
6036.605524	0.028356	
6036.609525	0.020385	
6036.613525	0.011547	
6036.615524	0.005350	
6036.617526	-0.003911	
6036.619525	-0.012517	
6036.621524	-0.009017	
6036.625524	-0.022231	
6036.627525	-0.045876	
6036.629526	-0.062471	
6036.631525	-0.073427	
6036.633525	-0.077656	
6036.635525	-0.089851	
6036.637525	-0.101424	
6036.639525	-0.113631	
6036.641525	-0.131403	
6036.645524	-0.149427	
6036.649524	-0.202254	
6036.651525	-0.244634	
6036.653524	-0.268564	
6036.655523	-0.286658	
6036.657524	-0.322062	
6036.659525	-0.356786	
6036.663524	-0.390813	
6036.665524	-0.472440	
6036.667525	-0.517209	
6036.671525	-0.570063	
6036.673524	-0.659367	
6036.675525	-0.718740	
6036.677524	-0.780240	
6036.679524	-0.850005	
6036.681525	-0.923822	
6036.685524	-1.006322	
6036.689525	-1.171599	
6036.691524	-1.348985	
6036.693525	-1.452901	
6036.695525	-1.573584	
6036.697525	-1.645770	
6036.701524	-1.646997	
6036.703525	-1.647315	
6036.705524	-1.647523	
6036.709525	-1.647738	
6036.711524	-1.647972	
6036.713524	-1.648186	
6036.715525	-1.648324	
6036.717524	-1.648384	
6036.721524	-1.648404	
6036.723525	-1.648375	
6036.727525	-1.648411	
6036.729525	-1.648372	
6036.731525	-1.648359	
6036.733525	-1.648411	
6036.735525	-1.648430	
6036.739524	-1.648394	
6036.741524	-1.648422	
6036.743524	-1.648411	
6036.747526	-1.648413	
6036.749525	-1.648380	
6036.751526	-1.648401	
6036.753524	-1.648363	
6036.755524	-1.648371	
6036.759524	-1.648370	
6036.761524	-1.648399	
6036.765525	-1.648428	
6036.767524	-1.648438	
6036.769525	-1.648392	
6036.771525	-1.648394	
6036.773524	-1.648340	
6036.777524	-1.648379	
6036.779525	-1.648330	
6036.781524	-1.648353	
6036.785525	-1.648428	
6036.787524	-1.648319	
6036.789525	-1.648372	
6036.791525	-1.648347	
6036.793525	-1.648372	
6036.795525	-1.648413	
6036.799524	-1.648402	
